,Cost (LessThan65),Cost (65Plus)
FIT,8540,8540
Hemoccult SENSA,1135,1135
SDNA,1,1
SIG,77100,77100
CTC,1,1
Screening colonoscopy without polypectomy,121664,121664
Diagnostic colonoscopy without polypectomy,105885,105885
Surveillance colonoscopy without polypectomy,119993,119993
Colonoscopy with polypectomy,144028,144028
Colonoscopy for diagnosis of a cancer by symptoms,144028,144028
Fatal perforation,1134170,1134170
Serious GI complication,1134170,1134170
Other GI complication,808045,808045
Cardiovascular complication,885641,885641
