"parameter","Chile","USA"
"id_draw",1373,74
"IndividuakRiskMultVariance",0.503081605593135,0.794383943938596
"alpha_lesion_adenoma",-7.10555961663784,-7.23565738764533
"beta_age",0.0513748847212085,0.0498095664408945
"AdNaturalHistoryPropensity_Gaussian_Variance",0.370195903307325,0.306362750872511
"AdGrowth_Exp_Rate_1_to_6_P",0.0148270062445364,0.060521914716297
"AdGrowth_Exp_Rate_1_to_6_D",0.0281799992120955,0.0549924001005005
"AdGrowth_Exp_Rate_1_to_6_R",0.0829164037905507,0.0191731800313503
"AdGrowth_Exp_Rate_6_to_10_P",0.0136124451291944,0.0172792363234502
"AdGrowth_Exp_Rate_6_to_10_D",0.599273518697761,0.026976036655778
"AdGrowth_Exp_Rate_6_to_10_R",0.0434164170187349,0.31005728422512
"PreclinCancerProg_Exp_Rate_S1S2_P",0.297394291322197,0.213445329138432
"PreclinCancerProg_Exp_Rate_S1S2_D",0.319756110919661,0.273979266038903
"PreclinCancerProg_Exp_Rate_S1S2_R",0.327643458228636,0.306355270764786
"PreclinCancerProg_Exp_Rate_S2S3_P",0.250370168188519,0.231046480530498
"PreclinCancerProg_Exp_Rate_S2S3_D",0.37350987013741,0.376646487594908
"PreclinCancerProg_Exp_Rate_S2S3_R",0.485008134603473,0.416616178903786
"PreclinCancerProg_Exp_Rate_S3S4_P",0.356668133716474,0.345537775893094
"PreclinCancerProg_Exp_Rate_S3S4_D",0.618037941842975,0.544180813316703
"PreclinCancerProg_Exp_Rate_S3S4_R",0.879867007120381,0.482269555148268
"CancerOnset_Gompertz_Shape_P",0.000346051327390663,9.0538457577411e-05
"CancerOnset_Gompertz_Shape_D",0.0204664774518312,0.00428352314972979
"CancerOnset_Gompertz_Shape_R",0.00920109750920817,0.0216025501905051
"CancerOnset_Gompertz_Rate_P",0.0219339445426024,0.0216401384514286
"CancerOnset_Gompertz_Rate_D",0.000933147449582245,0.0184075673016682
"CancerOnset_Gompertz_Rate_R",0.00811809842263452,0.0482644497417545
"pSxDetS1_P",0.0308902324840304,0.0255058663824415
"pSxDetS1_D",0.0237183793102131,0.0616601511481639
"pSxDetS1_R",0.0288819896702691,0.122178718542866
"hr_SxDetS2S1_P",4.46984764150108,8.11058159829621
"hr_SxDetS2S1_D",8.12363715033534,5.79136283637898
"hr_SxDetS2S1_R",5.95753244520051,2.33293429309067
"hr_SxDetS3S2_P",4.12143019158218,2.42433835794601
"hr_SxDetS3S2_D",4.08600663725388,1.96732874390175
"hr_SxDetS3S2_R",10.3960919966064,2.11997985967497
"hr_SxDetS4S3_P",10.7880341344847,1.13876586503368
"hr_SxDetS4S3_D",8.86315238513555,3.57123004667641
"hr_SxDetS4S3_R",9.43278702803523,4.09359202374036
"lp__",-170.660783172711,162.818282042622
